alpha,n,result
0.8076923076923077,172,1
0.8076923076923077,173,1
0.8076923076923077,174,1
0.8076923076923077,175,1
0.8076923076923077,176,1
0.8076923076923077,177,1
0.8076923076923077,178,1
0.8076923076923077,179,1
0.8076923076923077,180,1
0.8076923076923077,181,1
0.8076923076923077,182,1
0.8076923076923077,183,1
0.8076923076923077,184,1
0.8076923076923077,185,1
0.8076923076923077,186,1
0.8076923076923077,187,1
0.8076923076923077,188,1
0.8076923076923077,189,1
0.8076923076923077,190,1
0.8076923076923077,191,1
0.8076923076923077,192,1
0.8076923076923077,193,1
0.8076923076923077,194,1
0.8076923076923077,195,1
0.8076923076923077,196,1
0.8076923076923077,197,1
0.8076923076923077,198,1
0.8076923076923077,199,1
0.8653846153846154,0,1
0.8653846153846154,1,1
0.8653846153846154,2,1
0.8653846153846154,3,1
0.8653846153846154,4,1
0.8653846153846154,5,1
0.8653846153846154,6,1
0.8653846153846154,7,1
0.8653846153846154,8,1
0.8653846153846154,9,1
0.8653846153846154,10,1
0.8653846153846154,11,1
0.8653846153846154,12,1
0.8653846153846154,13,1
0.8653846153846154,14,1
0.8653846153846154,15,1
0.8653846153846154,16,1
0.8653846153846154,17,1
0.8653846153846154,18,1
0.8653846153846154,19,1
0.8653846153846154,20,1
0.8653846153846154,21,1
0.8653846153846154,22,1
0.8653846153846154,23,1
0.8653846153846154,24,1
0.8653846153846154,25,1
0.8653846153846154,26,1
0.8653846153846154,27,1
0.8653846153846154,28,1
0.8653846153846154,29,1
0.8653846153846154,30,1
0.8653846153846154,31,1
0.8653846153846154,32,1
0.8653846153846154,33,1
0.8653846153846154,34,1
0.8653846153846154,35,1
0.8653846153846154,36,1
0.8653846153846154,37,1
0.8653846153846154,38,1
0.8653846153846154,39,1
0.8653846153846154,40,1
0.8653846153846154,41,1
0.8653846153846154,42,1
0.8653846153846154,43,1
0.8653846153846154,44,1
0.8653846153846154,45,1
0.8653846153846154,46,1
0.8653846153846154,47,1
0.8653846153846154,48,1
0.8653846153846154,49,1
0.8653846153846154,50,1
0.8653846153846154,51,1
0.8653846153846154,52,1
0.8653846153846154,53,1
0.8653846153846154,54,1
0.8653846153846154,55,1
0.8653846153846154,56,1
0.8653846153846154,57,1
0.8653846153846154,58,1
0.8653846153846154,59,1
0.8653846153846154,60,1
0.8653846153846154,61,1
0.8653846153846154,62,1
0.8653846153846154,63,1
0.8653846153846154,64,1
0.8653846153846154,65,1
0.8653846153846154,66,1
0.8653846153846154,67,1
0.8653846153846154,68,1
0.8653846153846154,69,1
0.8653846153846154,70,1
0.8653846153846154,71,1
0.8653846153846154,72,1
0.8653846153846154,73,1
0.8653846153846154,74,1
0.8653846153846154,75,1
0.8653846153846154,76,1
0.8653846153846154,77,1
0.8653846153846154,78,1
0.8653846153846154,79,1
0.8653846153846154,80,1
0.8653846153846154,81,1
0.8653846153846154,82,1
0.8653846153846154,83,1
0.8653846153846154,84,1
0.8653846153846154,85,1
0.8653846153846154,86,1
0.8653846153846154,87,1
0.8653846153846154,88,1
0.8653846153846154,89,1
0.8653846153846154,90,1
0.8653846153846154,91,1
0.8653846153846154,92,1
0.8653846153846154,93,1
0.8653846153846154,94,1
0.8653846153846154,95,1
0.8653846153846154,96,1
0.8653846153846154,97,1
0.8653846153846154,98,1
0.8653846153846154,99,1
0.8653846153846154,100,1
0.8653846153846154,101,1
0.8653846153846154,102,1
0.8653846153846154,103,1
0.8653846153846154,104,1
0.8653846153846154,105,1
0.8653846153846154,106,1
0.8653846153846154,107,1
0.8653846153846154,108,1
0.8653846153846154,109,1
0.8653846153846154,110,1
0.8653846153846154,111,1
0.8653846153846154,112,1
0.8653846153846154,113,1
0.8653846153846154,114,1
0.8653846153846154,115,1
0.8653846153846154,116,1
0.8653846153846154,117,1
0.8653846153846154,118,1
0.8653846153846154,119,1
0.8653846153846154,120,1
0.8653846153846154,121,1
0.8653846153846154,122,1
0.8653846153846154,123,1
0.8653846153846154,124,1
0.8653846153846154,125,1
0.8653846153846154,126,1
0.8653846153846154,127,1
0.8653846153846154,128,1
0.8653846153846154,129,1
0.8653846153846154,130,1
0.8653846153846154,131,1
0.8653846153846154,132,1
0.8653846153846154,133,1
0.8653846153846154,134,1
0.8653846153846154,135,1
0.8653846153846154,136,1
0.8653846153846154,137,1
0.8653846153846154,138,1
0.8653846153846154,139,1
0.8653846153846154,140,1
0.8653846153846154,141,1
0.8653846153846154,142,1
0.8653846153846154,143,1
0.8653846153846154,144,1
0.8653846153846154,145,1
0.8653846153846154,146,1
0.8653846153846154,147,1
0.8653846153846154,148,1
0.8653846153846154,149,1
0.8653846153846154,150,1
0.8653846153846154,151,1
0.8653846153846154,152,1
0.8653846153846154,153,1
0.8653846153846154,154,1
0.8653846153846154,155,1
0.8653846153846154,156,1
0.8653846153846154,157,1
0.8653846153846154,158,1
0.8653846153846154,159,1
0.8653846153846154,160,1
0.8653846153846154,161,1
0.8653846153846154,162,1
0.8653846153846154,163,1
0.8653846153846154,164,1
0.8653846153846154,165,1
0.8653846153846154,166,1
0.8653846153846154,167,1
0.8653846153846154,168,1
0.8653846153846154,169,1
0.8653846153846154,170,1
0.8653846153846154,171,1
0.8653846153846154,172,1
0.8653846153846154,173,1
0.8653846153846154,174,1
0.8653846153846154,175,1
0.8653846153846154,176,1
0.8653846153846154,177,1
0.8653846153846154,178,1
0.8653846153846154,179,1
0.8653846153846154,180,1
0.8653846153846154,181,1
0.8653846153846154,182,1
0.8653846153846154,183,1
0.8653846153846154,184,1
0.8653846153846154,185,1
0.8653846153846154,186,1
0.8653846153846154,187,1
0.8653846153846154,188,1
0.8653846153846154,189,1
