alpha,n,t,err
0.45000000000000007,4,24999,0.30137209708600915
0.45000000000000007,5,24999,0.316494210853663
0.45000000000000007,6,24999,0.36779250784387674
0.45000000000000007,7,24999,0.3304020606973256
0.45000000000000007,8,24999,0.33398804058765635
0.45000000000000007,9,24999,0.3757497993999764
0.45000000000000007,10,307,0.30266097792845303
0.45000000000000007,11,24999,0.4314321965368114
0.45000000000000007,12,555,0.3421040319331859
0.45000000000000007,13,24999,0.38439199710388006
0.45000000000000007,14,24999,0.25975224791452506
0.45000000000000007,15,24999,0.3629698125640935
0.45000000000000007,16,24999,0.3150198447285619
0.45000000000000007,17,24999,0.3309551454192623
0.45000000000000007,18,24999,0.38199495834030045
0.45000000000000007,19,24999,0.3257834108782759
0.5500000000000002,0,1270,0.320662345590854
0.5500000000000002,1,24999,0.379100342718164
0.5500000000000002,2,938,0.28764985964333933
0.5500000000000002,3,24999,0.4197969463520499
0.5500000000000002,4,24999,0.29996941901534674
0.5500000000000002,5,24999,0.34397072149430824
0.5500000000000002,6,892,0.2761601326129717
0.5500000000000002,7,24999,0.3020208655359167
0.5500000000000002,8,24999,0.35498519407624807
0.5500000000000002,9,24999,0.3181290538037955
0.5500000000000002,10,24999,0.3834006028146238
0.5500000000000002,11,102,0.3897309939758791
0.5500000000000002,12,24999,0.33177796537543763
0.5500000000000002,13,409,0.3596042622623788
0.5500000000000002,14,24999,0.32630132764964187
0.5500000000000002,15,24999,0.33672957164071754
0.5500000000000002,16,663,0.3283123484390991
0.5500000000000002,17,92,0.3675681693077999
0.5500000000000002,18,24999,0.36497864186846596
0.5500000000000002,19,24999,0.3541977984353305
0.6500000000000001,0,24999,0.3057257046425196
0.6500000000000001,1,24999,0.3012902263945227
0.6500000000000001,2,24999,0.2834230446898929
0.6500000000000001,3,24999,0.2717872939692245
0.6500000000000001,4,24999,0.3739012944756088
0.6500000000000001,5,24999,0.3242460645793953
0.6500000000000001,6,24999,0.3451150605023441
0.6500000000000001,7,24999,0.2540862567960109
0.6500000000000001,8,24999,0.30597565234424984
0.6500000000000001,9,24999,0.19755265876535613
0.6500000000000001,10,1110,0.29332971995388835
0.6500000000000001,11,24999,0.30816584866350943
0.6500000000000001,12,24999,0.3064124515974499
0.6500000000000001,13,97,0.35173316681670797
0.6500000000000001,14,24999,0.3293362909362522
0.6500000000000001,15,24999,0.3531739435890615
0.6500000000000001,16,24999,0.28549524249038555
0.6500000000000001,17,24999,0.3231846236607042
0.6500000000000001,18,24999,0.34137661772709915
0.6500000000000001,19,24999,0.36471117006754683
0.7500000000000002,0,24999,0.27240846774395483
