N,P,alpha,epsilon
20,139,6.95,0.07829186632942245
20,140,7.0,0.07765393514098083
20,141,7.05,0.07702627931318375
20,142,7.1,0.07640865354600408
20,143,7.15,0.07580082025103477
20,144,7.2,0.07520254925233064
20,145,7.25,0.07461361750099
20,146,7.3,0.07403380880275028
20,147,7.35,0.07346291355791465
20,148,7.4,0.07290072851296792
20,149,7.45,0.07234705652327642
20,150,7.5,0.07180170632630284
20,151,7.55,0.07126449232479953
20,152,7.6,0.07073523437947443
20,153,7.65,0.07021375761065318
20,154,7.7,0.06969989220848759
20,155,7.75,0.06919347325128611
20,156,7.8,0.06869434053156588
20,157,7.85,0.068202338389448
20,158,7.9,0.06771731555303849
20,159,7.95,0.06723912498545764
20,160,8.0,0.06676762373819799
20,161,8.05,0.0663026728105092
20,162,8.1,0.06584413701452406
20,163,8.15,0.0653918848458552
20,164,8.2,0.06494578835940647
20,165,8.25,0.06450572305015637
20,166,8.3,0.06407156773868418
20,167,8.35,0.06364320446122046
20,168,8.4,0.06322051836401597
20,169,8.45,0.06280339760183289
20,170,8.5,0.06239173324037271
20,171,8.55,0.061985419162464465
20,172,8.6,0.06158435197784594
20,173,8.65,0.061188430936378824
20,174,8.7,0.06079755784454698
20,175,8.75,0.060411636985094164
20,176,8.8,0.06003057503966493
20,177,8.85,0.05965428101431897
20,178,8.9,0.05928266616779561
20,179,8.95,0.05891564394241098
20,180,9.0,0.05855312989747635
20,181,9.05,0.05819504164513114
20,182,9.1,0.05784129878848942
20,183,9.15,0.05749182286200353
20,184,9.2,0.05714653727395283
20,185,9.25,0.05680536725097001
20,186,9.3,0.056468239784521576
20,187,9.35,0.05613508357926272
20,188,9.4,0.05580582900319087
20,189,9.45,0.05548040803952523
20,190,9.5,0.055158754240243274
20,191,9.55,0.05484080268120826
20,192,9.6,0.05452648991882453
20,193,9.65,0.054215753948160625
20,194,9.7,0.053908534162482535
20,195,9.75,0.05360477131414217
20,196,9.8,0.05330440747676863
20,197,9.85,0.053007386008711826
20,198,9.9,0.05271365151769069
20,199,9.95,0.05242314982659979
20,200,10.0,0.052135827940430625
