P,Q,t,eta,E,E_test
2000,200,600,0.05,0.06645008034564098,0.06909832602054208
2000,200,650,0.05,0.06450655963328877,0.06534584272472886
2000,200,700,0.05,0.062111005996879194,0.061540387197260425
2000,200,750,0.05,0.05814816139794224,0.05764985490907911
2000,200,800,0.05,0.05190239984197589,0.049940712008006205
2000,200,850,0.05,0.04833881586068281,0.04402891422808647
2000,200,900,0.05,0.0482136917579283,0.043805803789961135
2000,200,950,0.05,0.04739933027137828,0.04302712925077286
2000,200,1000,0.05,0.04564352145991288,0.04136713896569558
2000,200,1050,0.05,0.045023849159101154,0.04026647281854552
2000,200,1100,0.05,0.04424540230171226,0.038654170495714346
2000,200,1150,0.05,0.04371413675805387,0.03791880990525335
2000,200,1200,0.05,0.042606798901480954,0.037404913824235456
2000,200,1250,0.05,0.04273378517956052,0.03765986298663589
2000,200,1300,0.05,0.0424018054489262,0.039442066029290936
2000,200,1350,0.05,0.042046170915530055,0.03971579551582407
2000,200,1400,0.05,0.04296158883383471,0.04198501401347885
2000,200,1450,0.05,0.04230663769614841,0.041816604828144775
2000,200,1500,0.05,0.04169040907249378,0.04094091313123397
2000,200,1550,0.05,0.04103687423277708,0.039414464046284986
2000,200,1600,0.05,0.040211761940917266,0.03902013222211288
2000,200,1650,0.05,0.040328375817997135,0.03807300337842263
2000,200,1700,0.05,0.04052271517514541,0.03871302514950483
2000,200,1750,0.05,0.04019861237844817,0.037831401238434245
2000,200,1800,0.05,0.04027160432150397,0.03914737888231733
2000,200,1850,0.05,0.04036916347902221,0.03962222853502458
2000,200,1900,0.05,0.038946188176920186,0.037053068649088916
2000,200,1950,0.05,0.03871362707809384,0.03721968030832387
2000,200,2000,0.05,0.03957489663761309,0.03633295453522771
2000,200,2050,0.05,0.04049030815914815,0.03797748097966216
2000,200,2100,0.05,0.04084387673120668,0.039594146425628016
2000,200,2150,0.05,0.03998172611707908,0.038014036999870396
2000,200,2200,0.05,0.038657154367662414,0.03632546829639753
2000,200,2250,0.05,0.038454996272663355,0.03666702528383116
2000,200,2300,0.05,0.03832176125808336,0.03514278621208878
2000,200,2350,0.05,0.03787519014619953,0.03436019597743864
2000,200,2400,0.05,0.0403905210153764,0.035382188375439244
2000,200,2450,0.05,0.03959260554212807,0.03415681993293866
2000,200,2500,0.05,0.039233505419920996,0.033967465005909164
2000,200,2550,0.05,0.03827869253583177,0.03328207967275693
2000,200,2600,0.05,0.03839989738407776,0.03339402793499302
2000,200,2650,0.05,0.03757744651883974,0.03279129158901375
2000,200,2700,0.05,0.03827173264632391,0.03457752324323269
2000,200,2750,0.05,0.03829088256616284,0.03472940952292216
2000,200,2800,0.05,0.03782963582121671,0.03420334488213405
2000,200,2850,0.05,0.03695010720706827,0.033084030711779004
2000,200,2900,0.05,0.03632740922172514,0.032413135873991514
2000,200,2950,0.05,0.03649186309331045,0.03229951021027512
2000,200,3000,0.05,0.03622937129752443,0.03219641093764337
2000,200,3050,0.05,0.03557018872755971,0.03162014281932615
2000,200,3100,0.05,0.03591699417267264,0.030884721724828704
2000,200,3150,0.05,0.03580677959450363,0.03043590588721214
2000,200,3200,0.05,0.03616262551832867,0.031639434437935585
2000,200,3250,0.05,0.03587299454891328,0.03167413292342738
2000,200,3300,0.05,0.03580467182714282,0.03136130650277473
2000,200,3350,0.05,0.03602662443246906,0.03125995700946229
2000,200,3400,0.05,0.035330054514353025,0.03093268809610405
2000,200,3450,0.05,0.034591494931970265,0.030128024568121813
2000,200,3500,0.05,0.03430271555525304,0.02980934017187707
2000,200,3550,0.05,0.03411646478860263,0.029733580599829782
2000,200,3600,0.05,0.03373652585706853,0.029193809170344816
2000,200,3650,0.05,0.0336124914076551,0.02891624056897364
2000,200,3700,0.05,0.03369688507105599,0.02912574491443948
2000,200,3750,0.05,0.03386609722070228,0.029850590034125126
2000,200,3800,0.05,0.033906448127916676,0.029430133793355642
2000,200,3850,0.05,0.034249697593122255,0.02926266531817372
2000,200,3900,0.05,0.03390936886656217,0.0292803438241919
2000,200,3950,0.05,0.034255401320961325,0.02992134079735073
2000,200,4000,0.05,0.03428323174067774,0.030295058105151904
2000,200,4050,0.05,0.03412574334014461,0.030521613690281623
2000,200,4100,0.05,0.0339594973542164,0.030096883584190933
2000,200,4150,0.05,0.03393198901331339,0.030982994547271332
2000,200,4200,0.05,0.033841067424576494,0.03064945856901022
2000,200,4250,0.05,0.033189880410015436,0.029706314981254124
2000,200,4300,0.05,0.032982164044192144,0.029838402525183116
2000,200,4350,0.05,0.032175626784224295,0.029000258607984088
2000,200,4400,0.05,0.03231420984255584,0.029339654771383065
2000,200,4450,0.05,0.03192223288591803,0.029009311321035684
2000,200,4500,0.05,0.032173878913487955,0.02986043853229409
2000,200,4550,0.05,0.03213537531063642,0.030235386822399943
2000,200,4600,0.05,0.032672592899110973,0.03157984168973869
2000,200,4650,0.05,0.03262607396241284,0.03177124349098525
2000,200,4700,0.05,0.032462506968247,0.031390017459671044
2000,200,4750,0.05,0.032486980641539785,0.031522935387168396
2000,200,4800,0.05,0.03186275629694249,0.030991783358136505
2000,200,4850,0.05,0.031745637659251535,0.03073160612490589
2000,200,4900,0.05,0.0315278493590397,0.030700682736792446
2000,200,4950,0.05,0.031212524542771358,0.030462324514054884
2000,200,0,0.05,0.5546634278759389,0.47536432765061176
2000,200,50,0.05,0.48248581861875955,0.4612607161904815
2000,200,100,0.05,0.3716150062050746,0.36883659360651033
2000,200,150,0.05,0.2911273812410979,0.28025677915993963
2000,200,200,0.05,0.21660535163160635,0.21164443346006703
2000,200,250,0.05,0.16619649126495412,0.1758788996080005
2000,200,300,0.05,0.14503773855794252,0.15116743387700396
2000,200,350,0.05,0.10516844433883811,0.10480112136866448
2000,200,400,0.05,0.09272099363456682,0.09634907135938436
2000,200,450,0.05,0.08692003771118965,0.09048266427155943
2000,200,500,0.05,0.07817351730889448,0.08879587398343722
2000,200,550,0.05,0.07460986129619857,0.08350681141991668
2000,200,600,0.05,0.06802443077877848,0.07807821409625677
2000,200,650,0.05,0.06072163516897118,0.07068849011246843
2000,200,700,0.05,0.05741289687085201,0.06413100351526724
2000,200,750,0.05,0.05527135871264633,0.05995035185139935
2000,200,800,0.05,0.052688916468679285,0.05467231929712451
2000,200,850,0.05,0.051258272392536545,0.05420322566577508
2000,200,900,0.05,0.048816971567238146,0.05138058682632309
2000,200,950,0.05,0.047139556081265147,0.0487363459827265
2000,200,1000,0.05,0.04672965582496007,0.04833595815286829
2000,200,1050,0.05,0.04628630228498427,0.04771131042810509
2000,200,1100,0.05,0.04599983564683421,0.04783628537498137
2000,200,1150,0.05,0.0456130978925541,0.04689973329517609
2000,200,1200,0.05,0.04518070037711086,0.04701216412562706
2000,200,1250,0.05,0.04448818506650454,0.04767543323464363
2000,200,1300,0.05,0.043920357928281535,0.04644859796802356
2000,200,1350,0.05,0.043322358473864474,0.04555922463515323
2000,200,1400,0.05,0.04318663739038251,0.04572610941585396
2000,200,1450,0.05,0.043366819803717885,0.046501986802639735
2000,200,1500,0.05,0.04273772579451583,0.04548608248984953
2000,200,1550,0.05,0.04277360260046736,0.04547412003114022
2000,200,1600,0.05,0.04253737239151382,0.0447983979104156
2000,200,1650,0.05,0.042503691078858354,0.044852633850125515
2000,200,1700,0.05,0.04202464469805272,0.04459229327746812
2000,200,1750,0.05,0.04540147529765913,0.0502092503146128
2000,200,1800,0.05,0.044768992871534866,0.048925275816166625
2000,200,1850,0.05,0.04494213824000205,0.049496273858554075
2000,200,1900,0.05,0.044180320808788046,0.047750231958948425
2000,200,1950,0.05,0.04297181053478624,0.04650688381793875
2000,200,2000,0.05,0.04266743020976986,0.04634838557010261
2000,200,2050,0.05,0.04241173105417347,0.04669125222005508
2000,200,2100,0.05,0.04186016069844661,0.04638507640306374
2000,200,2150,0.05,0.041493400844849815,0.04449755775888933
2000,200,2200,0.05,0.04146715338038673,0.04418878341592676
2000,200,2250,0.05,0.04094550698388821,0.04360632496506073
2000,200,2300,0.05,0.041095370155146166,0.044286851879715775
2000,200,2350,0.05,0.0410763049007638,0.04431690851584895
2000,200,2400,0.05,0.040898717695936525,0.044177786675743826
2000,200,2450,0.05,0.04030257042006567,0.043250146198918815
2000,200,2500,0.05,0.040917303618978176,0.044655867230115956
2000,200,2550,0.05,0.04117272329197162,0.04274761205492072
2000,200,2600,0.05,0.040449990295678834,0.04251792169891935
2000,200,2650,0.05,0.04003596210803962,0.041956034847136545
2000,200,2700,0.05,0.03988091783535134,0.04187036035048518
2000,200,2750,0.05,0.0399443386781565,0.041646981636614795
2000,200,2800,0.05,0.03971914035765086,0.040776842176857474
2000,200,2850,0.05,0.040271354105192,0.04077165128368344
2000,200,2900,0.05,0.040031342277321864,0.04084445499573456
2000,200,2950,0.05,0.039895705078784,0.040833252409981695
2000,200,3000,0.05,0.03989230617527672,0.041217377960446534
2000,200,3050,0.05,0.03971699024735858,0.04123555680586955
2000,200,3100,0.05,0.039675296598020854,0.041154749898443276
2000,200,3150,0.05,0.03958875227101305,0.041274817176931225
2000,200,3200,0.05,0.039025954456616385,0.040459354732490675
2000,200,3250,0.05,0.0389013309634225,0.040838036403616516
2000,200,3300,0.05,0.039123437390266386,0.04180742851067041
2000,200,3350,0.05,0.038986629738737025,0.04191895093848961
2000,200,3400,0.05,0.0391877807294339,0.04288639667058089
2000,200,3450,0.05,0.03916841630331646,0.042670870961788364
2000,200,3500,0.05,0.039181319861926286,0.042500274934354154
2000,200,3550,0.05,0.038855336453920905,0.04207913979241619
2000,200,3600,0.05,0.03966710604254326,0.04346374946934106
2000,200,3650,0.05,0.039233966534060485,0.043366666074520846
2000,200,3700,0.05,0.038788999477967476,0.042724940368303634
2000,200,3750,0.05,0.038780970478770216,0.04297037923051282
2000,200,3800,0.05,0.03865281305371069,0.04220036769660765
2000,200,3850,0.05,0.03836755768686689,0.04276038184292616
2000,200,3900,0.05,0.038513773308799286,0.04328369009356157
2000,200,3950,0.05,0.038365805108477556,0.043619539361229975
2000,200,4000,0.05,0.037967801883682754,0.04291431524141452
2000,200,4050,0.05,0.03767991013624718,0.04150693794680732
2000,200,4100,0.05,0.03754723552407012,0.041533811552017276
2000,200,4150,0.05,0.03721137642519923,0.04107988927470649
2000,200,4200,0.05,0.03727246898004674,0.04104198288039393
2000,200,4250,0.05,0.036833960201067856,0.0404366874415662
2000,200,4300,0.05,0.03686480731320817,0.040760834957752436
2000,200,4350,0.05,0.03686521608681104,0.0410091809033739
2000,200,4400,0.05,0.03705766249778007,0.040940604686008436
2000,200,4450,0.05,0.037229450442695336,0.040781542662498727
2000,200,4500,0.05,0.03701197286970365,0.04070417333417579
2000,200,4550,0.05,0.036899923353116044,0.040496722316563726
2000,200,4600,0.05,0.03733556798453751,0.03888333047952102
2000,200,4650,0.05,0.0368882837980625,0.038248137394752475
2000,200,4700,0.05,0.036952311329405935,0.038511555217363845
2000,200,4750,0.05,0.03668791372333191,0.03872822864776386
2000,200,4800,0.05,0.03709986880343149,0.03877762699647892
2000,200,4850,0.05,0.03682882516658908,0.03862818745859332
2000,200,4900,0.05,0.03693700354756084,0.03953454425364821
2000,200,4950,0.05,0.036507267670593986,0.038693915005415455
2000,200,0,0.05,0.4042158451146725,0.43165753867111856
2000,200,50,0.05,0.390086480126186,0.4250930299346237
2000,200,100,0.05,0.24707520592380222,0.28790993226702033
2000,200,150,0.05,0.1978944641838937,0.22157294246966583
2000,200,200,0.05,0.1516579322472304,0.16110207291135015
2000,200,250,0.05,0.12743397266329812,0.12719453846823608
2000,200,300,0.05,0.11065600528654056,0.12547895906661916
2000,200,350,0.05,0.09403376261749942,0.09743953732936872
